name,political,social,age,gender
Engin EROGLU,11.63,34.56,39,Male
Gilles BOYER,29.30,16.81,50,Male
Roberts ZĪLE,35.70,10.2,63,Male
Janusz LEWANDOWSKI,29.77,16.1,70,Male
Clara PONSATÍ OBIOLS,19.53,26.27,64,Female
Andris AMERIKS,45.58,0,60,Male
Dan-Ştefan MOTREANU,45.58,0,51,Male
Juozas OLEKAS,43.26,2.31,65,Male
Enikő GYŐRI,22.79,22.66,53,Female
Jeroen LENAERS,26.05,19.25,37,Male
Christine ANDERSON,0.93,43.92,53,Female
Birgit SIPPEL,32.09,11.73,61,Female
Daniela RONDINELLI,18.14,25.51,54,Female
Bernhard ZIMNIOK,5.58,38.02,68,Male
Joachim Stanisław BRUDZIŃSKI,13.95,29.63,53,Male
Markéta GREGOROVÁ,12.09,31.31,28,Female
Milan ZVER,26.05,17.22,59,Male
Martina MICHELS,27.44,15.29,65,Female
Marek Paweł BALT,40.00,2.61,48,Male
Álvaro AMARO,32.56,10,68,Male
Valter FLEGO,34.42,7.9,49,Male
Moritz KÖRNER,12.56,29.63,31,Male
Ivo HRISTOV,38.14,4,51,Male
Josianne CUTAJAR,36.74,5.27,31,Female
Ewa KOPACZ,27.91,14.07,64,Female
François ALFONSI,29.77,11.98,68,Male
Romana JERKOVIĆ,33.49,7.97,56,Female
Javier MORENO SÁNCHEZ,38.14,3.14,56,Male
Helmut SCHOLZ,23.72,17.37,67,Male
Jens GIESEKE,31.63,9.29,50,Male
Leopoldo LÓPEZ GIL,18.60,21.69,76,Male
Mathilde ANDROUËT,6.98,33.29,37,Female
Roberta METSOLA,15.81,24.44,42,Female
Andrey NOVAKOV,21.40,18.85,33,Male
Kosma ZŁOTOWSKI,30.23,9.95,57,Male
Marion WALSMANN,22.33,17.83,58,Female
Vincenzo SOFO,13.95,25.92,34,Male
Evelyn REGNER,34.42,5.32,55,Female
Isabella TOVAGLIERI,20.47,19,34,Female
Fulvio MARTUSCIELLO,36.74,2.58,53,Male
Geoffroy DIDIER,15.81,23.47,45,Male
Sven SIMON,22.33,16.81,43,Male
Norbert NEUSER,39.07,0,72,Male
Petra KAMMEREVERT,39.07,0,55,Female
Sarah WIENER,38.60,0,59,Female
Liudas MAŽYLIS,38.14,0,67,Male
Tudor CIUHODARU,38.14,0,52,Male
Attila ARA-KOVÁCS,33.95,4.08,68,Male
Beata KEMPA,12.09,25.92,55,Female
Pascal ARIMONT,18.14,19.81,47,Male
Constanze KREHL,37.67,0,64,Female
Michael GAHLER,33.02,4.49,61,Male
Tsvetelina PENKOVA,34.88,2.56,33,Female
Stefan BERGER,21.86,15.49,52,Male
Dietmar KÖSTER,37.21,0,64,Male
Niclas HERBST,37.21,0,48,Male
Angel DZHAMBAZKI,20.00,17.07,42,Male
Abir AL-SAHLANI,14.42,22.61,45,Female
Annalisa TARDINO,28.37,8.68,42,Female
Alessandro PANZA,13.95,23.07,39,Male
Riho TERRAS,23.26,13.61,54,Male
Paulo RANGEL,22.33,14.47,53,Male
