last name,first name,group,country,tw_handle,SocialInfluence,PoliticalInfluence,Green Deal Influence Total
de GRAAFF,Marcel,Identity and Democracy Group,Netherlands,@MJRLdeGraaff,0,4.24,2
JALKH,Jean-François,Identity and Democracy Group,France,@JFjalkh,0,4.24,2
RADAČOVSKÝ,Miroslav,Non-attached Members,Slovakia,@MiroslavRADAOV1,0,4.24,2
DE LA PISA CARRIÓN,Margarita,European Conservatives and Reformists Group,Spain,@MargaPisa,0.49,3.18,2
LAGOS,Ioannis,Non-attached Members,Greece,@iwlagos,0,3.18,2
GEUKING,Helmut,European Conservatives and Reformists Group,Germany,,0,3.18,2
DE MAN,Filip,Identity and Democracy Group,Belgium,,0,3.18,2
BONFRISCO,Anna,Identity and Democracy Group,Italy,@BonfriscoAnna,0,3.18,2
KOLAKUŠIĆ,Mislav,Non-attached Members,Croatia,@mislavkolakusic,0,2.12,1
ANDERSON,Christine,Identity and Democracy Group,Germany,,0,2.12,1
NIKOLAOU-ALAVANOS,Lefteris,Non-attached Members,Greece,,0,1.06,1
UHRÍK,Milan,Non-attached Members,Slovakia,@Milan_Uhrik,0,0,0
RIPA,Manuela,Non-attached Members,Germany,,0,0,0
