"name","political","social","age","gender"
"MEP",20.47,9.22,31,"Male"
"MEP",23.72,5.83,55,"Female"
"MEP",27.91,1.44,42,"Female"
"MEP",10.7,18.54,47,"Male"
"MEP",27.44,1.8,36,"Male"
"MEP",14.42,14.78,48,"Female"
"MEP",20.93,8.25,49,"Female"
"MEP",19.53,9.49,50,"Male"
"MEP",19.53,9.39,39,"Female"
"MEP",28.84,0,50,"Female"
"MEP",28.84,0,49,"Female"
"MEP",28.84,0,47,"Male"
"MEP",28.84,0,45,"Male"
"MEP",8.37,20.42,48,"Male"
"MEP",19.53,9.14,72,"Female"
"MEP",18.14,10.31,45,"Male"
"MEP",28.37,0,48,"Male"
"MEP",28.37,0,47,"Female"
"MEP",9.3,18.9,59,"Female"
"MEP",14.88,13.31,58,"Male"
"MEP",27.91,0.14,56,"Female"
"MEP",27.91,0,61,"Female"
"MEP",25.58,2.32,57,"Male"
"MEP",7.91,19.92,42,"Male"
"MEP",26.98,0.78,56,"Male"
"MEP",25.58,2.15,59,"Male"
"MEP",27.44,0,67,"Male"
"MEP",27.44,0,65,"Male"
"MEP",27.44,0,59,"Male"
"MEP",27.44,0,55,"Male"
"MEP",19.07,8.05,47,"Male"
"MEP",26.98,0,71,"Female"
"MEP",19.53,7.2,44,"Female"
"MEP",22.79,3.95,36,"Male"
"MEP",26.74,0,57,"Male"
"MEP",26.51,0,69,"Male"
"MEP",26.51,0,51,"Female"
"MEP",26.51,0,45,"Male"
"MEP",19.53,6.95,43,"Male"
"MEP",26.05,0,74,"Male"
"MEP",26.05,0,45,"Male"
"MEP",20.93,5.12,39,"Male"
"MEP",18.14,7.71,37,"Male"
"MEP",25.58,0.29,64,"Female"
"MEP",25.81,0,56,"Female"
"MEP",25.81,0,47,"Male"
"MEP",7.91,17.68,31,"Male"
"MEP",25.58,0,47,"Male"
"MEP",22.79,2.58,44,"Male"
"MEP",13.95,11.12,59,"Female"
"MEP",22.79,2.2,47,"Female"
"MEP",18.14,6.64,38,"Female"
"MEP",22.33,2.41,63,"Female"
"MEP",20.47,4.25,51,"Male"
"MEP",24.19,0,55,"Male"
"MEP",18.6,5.46,59,"Male"
"MEP",20.93,2.61,46,"Male"
"MEP",16.28,7.2,54,"Male"
"MEP",16.28,7.15,41,"Male"
"MEP",23.26,0,51,"Male"
"MEP",20.47,2.61,35,"Female"
"MEP",15.35,7.66,44,"Male"
"MEP",20,2.83,38,"Female"
"MEP",22.79,0,43,"Female"
"MEP",21.4,1.29,31,"Male"
"MEP",13.95,8.46,54,"Female"
"MEP",22.33,0,48,"Male"
"MEP",22.33,0,46,"Female"
"MEP",21.4,0.75,63,"Male"
"MEP",14.88,7.03,57,"Male"
